lambda,realization_1,realization_2,realization_3,realization_4,realization_5,realization_6,realization_7,realization_8,realization_9,realization_10,realization_11,realization_12,realization_13,realization_14,realization_15,realization_16,realization_17,realization_18,realization_19,realization_20,realization_21,realization_22,realization_23,realization_24,realization_25,realization_26,realization_27,realization_28,realization_29,realization_30,realization_31,realization_32,realization_33,realization_34,realization_35,realization_36,realization_37,realization_38,realization_39,realization_40,realization_41,realization_42,realization_43,realization_44,realization_45,realization_46,realization_47,realization_48,realization_49,realization_50
0.21,0.41236363636363643,0.4215,0.4153636363636364,0.43,0.41345454545454546,0.4315384615384615,0.3921176470588235,0.4305,0.4246,0.41342857142857137,0.4041538461538462,0.427,0.41900000000000004,0.4006666666666667,0.42353846153846153,0.42258333333333326,0.41931250000000003,0.40099999999999997,0.42563636363636365,0.41830769230769227,0.40758333333333335,0.42990000000000006,0.40841666666666665,0.43500000000000005,0.4085384615384615,0.4165454545454546,0.4163571428571428,0.4290999999999999,0.4239,0.4092307692307692,0.42119999999999996,0.4138181818181818,0.4131,0.4193636363636364,0.4243333333333333,0.40257142857142864,0.4263888888888889,0.42749999999999994,0.4107272727272727,0.39492307692307693,0.4334666666666666,0.4167692307692308,0.4069090909090909,0.4099230769230769,0.4098333333333333,0.409,0.42145454545454547,0.430923076923077,0.4060909090909091,0.41146153846153855
0.22,0.44258333333333333,0.4449166666666666,0.4381875,0.43630769230769234,0.4186363636363637,0.4231818181818181,0.4241818181818182,0.42933333333333334,0.4394,0.4452000000000001,0.44475,0.4338333333333333,0.43746153846153857,0.42454545454545456,0.4303333333333333,0.43091666666666667,0.45225,0.43699999999999994,0.43549999999999994,0.4312727272727272,0.4152727272727273,0.42754545454545456,0.414,0.4381818181818181,0.4292000000000001,0.4359,0.4348571428571428,0.4316153846153847,0.431,0.422,0.42883333333333334,0.45230000000000004,0.43036363636363634,0.4425454545454546,0.4386666666666667,0.4174545454545455,0.4193636363636363,0.4318000000000001,0.4516,0.43529999999999996,0.4364545454545455,0.43881818181818183,0.42216666666666663,0.4261999999999999,0.43241666666666667,0.4345,0.42999999999999994,0.44181818181818183,0.44507692307692304,0.4300769230769231
0.23,0.4289090909090909,0.4557272727272727,0.4485454545454546,0.4519090909090909,0.44610000000000005,0.4556363636363637,0.4455,0.43345454545454554,0.4510588235294118,0.46030000000000004,0.4460769230769231,0.45899999999999996,0.4632142857142858,0.4659090909090909,0.45975000000000005,0.4469,0.447,0.4574000000000001,0.4632727272727273,0.4457857142857143,0.4734999999999999,0.4537000000000001,0.449,0.46218181818181825,0.44745454545454544,0.4612,0.45089999999999997,0.4557272727272728,0.46484615384615385,0.4662727272727272,0.46154545454545465,0.47058333333333335,0.4613529411764705,0.4577368421052632,0.461,0.457,0.4465454545454545,0.4332,0.46069999999999994,0.44816666666666666,0.4517272727272727,0.44649999999999995,0.45107692307692315,0.4548,0.4465384615384616,0.4695833333333333,0.4720999999999999,0.4497000000000001,0.4668000000000001,0.4497999999999999
0.24,0.47939999999999994,0.4768,0.45830000000000004,0.4590714285714285,0.45992857142857135,0.4649,0.46872727272727277,0.469923076923077,0.47127272727272734,0.4542999999999999,0.4694545454545454,0.4537500000000001,0.463,0.45418181818181824,0.4644545454545455,0.45909090909090905,0.4631,0.46625000000000005,0.46853846153846146,0.46176470588235297,0.4633,0.463,0.4707272727272727,0.4668,0.46335714285714286,0.4795454545454545,0.47363636363636363,0.46636363636363637,0.46233333333333326,0.4849090909090909,0.46499999999999997,0.4796,0.4743636363636364,0.47427272727272723,0.471,0.461375,0.4789999999999999,0.46080000000000004,0.47100000000000003,0.4759999999999999,0.47436842105263155,0.4696000000000001,0.4617272727272727,0.47054545454545454,0.45809090909090905,0.46472222222222215,0.47743749999999996,0.46130000000000004,0.47379999999999994,0.45759999999999995
0.25,0.46678571428571425,0.46692857142857147,0.485,0.478923076923077,0.49239999999999995,0.4881818181818183,0.4800714285714286,0.4934,0.4833076923076923,0.481,0.4718,0.4793636363636363,0.4767857142857142,0.46458333333333335,0.4819166666666667,0.4755000000000001,0.49021428571428577,0.4695833333333334,0.4795,0.4877142857142856,0.4872727272727273,0.4905714285714285,0.4769230769230769,0.4761,0.4805999999999999,0.4853636363636364,0.47808333333333336,0.4848,0.47400000000000003,0.4783846153846154,0.47927272727272724,0.4744,0.4797692307692308,0.4693333333333334,0.4802857142857143,0.4825833333333333,0.47240000000000004,0.46581818181818185,0.4713076923076923,0.48840000000000006,0.4729090909090909,0.4625,0.4928,0.4782,0.4869,0.4696999999999999,0.4849090909090909,0.49599999999999994,0.4856,0.48436363636363633
0.26,0.4891,0.4979230769230769,0.48754545454545456,0.49799999999999994,0.49192857142857144,0.502,0.48524999999999996,0.49457142857142855,0.4865333333333333,0.5052,0.4939090909090909,0.48575000000000007,0.47900000000000004,0.491,0.47816666666666663,0.48863636363636365,0.48607142857142854,0.5043076923076923,0.482,0.5078,0.4908333333333333,0.48979999999999996,0.5128333333333334,0.4937272727272726,0.5055000000000001,0.5016428571428572,0.48372727272727273,0.4946,0.48914999999999986,0.4895454545454545,0.4901,0.48319999999999996,0.4903636363636363,0.4954545454545455,0.5014545454545455,0.4980833333333334,0.48386666666666667,0.48908333333333337,0.4914615384615385,0.4851875,0.4927,0.5010909090909091,0.5004375000000001,0.4805,0.4977272727272728,0.4961818181818181,0.4937999999999999,0.49160000000000004,0.49026666666666663,0.4907
0.27,0.4956666666666667,0.5065000000000001,0.5137272727272728,0.5000666666666667,0.5072142857142856,0.4968181818181819,0.5073846153846154,0.4944545454545455,0.4928333333333333,0.5205,0.5077999999999999,0.5167,0.5032,0.48933333333333334,0.5011,0.5057272727272727,0.4997142857142857,0.49491666666666667,0.5004545454545455,0.5033636363636363,0.5082727272727273,0.4995625,0.49823076923076925,0.5097272727272727,0.4963,0.5029166666666667,0.5031538461538462,0.510076923076923,0.4855,0.5082857142857143,0.4988181818181818,0.5042666666666668,0.5035454545454546,0.5163333333333333,0.4986,0.5064705882352941,0.4915,0.4918125,0.49174999999999996,0.5001666666666668,0.5126,0.5017272727272727,0.5004,0.5186153846153847,0.49636363636363634,0.49700000000000005,0.4998000000000001,0.5142307692307692,0.4918181818181818,0.49420000000000003
0.28,0.5124000000000001,0.5205000000000001,0.5126666666666667,0.5165,0.5,0.5073076923076923,0.5173333333333333,0.5096363636363637,0.5126666666666667,0.503909090909091,0.5082727272727273,0.5046,0.5227692307692309,0.4960833333333334,0.5311818181818182,0.5092,0.5091333333333333,0.5201818181818182,0.5269000000000001,0.5109230769230769,0.5072,0.5067999999999999,0.5090909090909091,0.5205,0.5133076923076924,0.5240588235294118,0.512,0.5061,0.5111818181818182,0.5179166666666667,0.5138181818181818,0.512,0.5264,0.5157692307692308,0.5237142857142858,0.5170000000000001,0.519357142857143,0.5233636363636364,0.511764705882353,0.5212727272727272,0.5134166666666667,0.5295,0.517625,0.5099166666666666,0.5115833333333334,0.5182,0.5095714285714286,0.5256666666666666,0.5138181818181818,0.5247692307692307
0.29,0.5161538461538462,0.5338181818181819,0.5196,0.5285454545454545,0.5206363636363637,0.5206999999999999,0.5186666666666667,0.5025,0.5234,0.5146,0.5255454545454546,0.5318,0.5298461538461539,0.5300909090909092,0.5168,0.5229,0.536,0.5231666666666667,0.533,0.5158,0.5285000000000001,0.5309,0.5322857142857144,0.5278571428571429,0.5219,0.5304166666666666,0.5142727272727273,0.5365454545454547,0.5303000000000001,0.5297692307692308,0.5244615384615385,0.5189166666666667,0.5122666666666668,0.5164545454545454,0.5191818181818182,0.5299999999999999,0.5264166666666666,0.5231000000000001,0.5227272727272728,0.5302666666666667,0.5246,0.5125000000000001,0.5148181818181817,0.5193636363636364,0.5243636363636365,0.5294000000000001,0.530909090909091,0.5201818181818182,0.5245384615384616,0.5329090909090909
0.3,0.5296153846153845,0.527,0.534235294117647,0.5333,0.53,0.5243,0.5308999999999999,0.5325625,0.5390833333333332,0.5352307692307693,0.5242000000000001,0.5267999999999999,0.527090909090909,0.5401818181818182,0.5295454545454547,0.5376923076923077,0.5255,0.5288,0.5371428571428573,0.5396428571428572,0.5207272727272727,0.5311000000000001,0.5334615384615385,0.5243846153846154,0.5224545454545454,0.5278,0.5367692307692308,0.5350909090909091,0.5373636363636364,0.5336428571428572,0.5462000000000001,0.5317272727272727,0.536,0.5321,0.5454545454545455,0.5230833333333332,0.5401818181818182,0.5268,0.5331428571428571,0.53,0.5202666666666667,0.5301818181818182,0.524,0.5223636363636364,0.5337272727272727,0.5417,0.5321818181818183,0.5306,0.5273888888888889,0.5173076923076922
