prr,method,normalized_mutual_information,normalized_variation_of_information,jaccard_index,modularity,num_communities
0.30000000000000004,greedy,0.9894489329632018,0.005954292360321595,0.9866442199775534,0.5793269075610651,5
0.30000000000000004,infomap,1.0,0.0,1.0,0.5807931178788885,5
0.30000000000000004,louvain,1.0,0.0,1.0,0.5807931178788885,5
0.35000000000000003,girvan_newmanc,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,greedy,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,infomap,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,louvain,1.0,0.0,1.0,0.6074111106233002,5
0.4,girvan_newmanc,1.0,0.0,1.0,0.6271853416793983,5
0.4,greedy,1.0,0.0,1.0,0.6271853416793983,5
0.4,infomap,1.0,0.0,1.0,0.6271853416793983,5
0.4,louvain,1.0,0.0,1.0,0.6271853416793983,5
0.45,girvan_newmanc,1.0,0.0,1.0,0.6427614274045126,5
0.45,greedy,1.0,0.0,1.0,0.6427614274045126,5
0.45,infomap,1.0,0.0,1.0,0.6427614274045126,5
0.45,louvain,1.0,0.0,1.0,0.6427614274045126,5
0.5,girvan_newmanc,1.0,0.0,1.0,0.6564846987485564,5
0.5,greedy,0.9894489329632018,0.005954292360321673,0.9866442199775534,0.652387952671752,5
0.5,infomap,0.9057460992755191,0.048609650430382186,0.7108433734939759,0.5914301179263594,4
0.5,louvain,1.0,0.0,1.0,0.6564846987485564,5
0.55,girvan_newmanc,1.0,0.0,1.0,0.6672515979391075,5
0.55,greedy,1.0,0.0,1.0,0.6672515979391075,5
0.55,infomap,1.0,0.0,1.0,0.6672515979391075,5
0.55,louvain,1.0,0.0,1.0,0.6672515979391075,5
0.6000000000000001,girvan_newmanc,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,greedy,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,infomap,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,louvain,1.0,0.0,1.0,0.6768518064864194,5
0.65,girvan_newmanc,1.0,0.0,1.0,0.6859705849916675,5
0.65,greedy,1.0,0.0,1.0,0.6859705849916675,5
0.65,infomap,1.0,0.0,1.0,0.6859705849916675,5
0.65,louvain,1.0,0.0,1.0,0.6859705849916675,5
0.7000000000000001,girvan_newmanc,1.0,0.0,1.0,0.693793528722936,5
0.7000000000000001,greedy,0.9894489329632018,0.005954292360321673,0.9866442199775534,0.689322621232632,5
0.7000000000000001,infomap,1.0,0.0,1.0,0.693793528722936,5
0.7000000000000001,louvain,1.0,0.0,1.0,0.693793528722936,5
0.75,girvan_newmanc,1.0,0.0,1.0,0.7003204024873336,5
0.75,greedy,1.0,0.0,1.0,0.7003204024873336,5
0.75,infomap,1.0,0.0,1.0,0.7003204024873336,5
0.75,louvain,1.0,0.0,1.0,0.7003204024873336,5
0.8,girvan_newmanc,1.0,0.0,1.0,0.7060227076222974,5
0.8,greedy,1.0,0.0,1.0,0.7060227076222974,5
0.8,infomap,1.0,0.0,1.0,0.7060227076222974,5
0.8,louvain,1.0,0.0,1.0,0.7060227076222974,5
0.8500000000000001,girvan_newmanc,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,greedy,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,infomap,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,louvain,1.0,0.0,1.0,0.7111798131089558,5
0.9,girvan_newmanc,1.0,0.0,1.0,0.7155092968027683,5
0.9,greedy,1.0,0.0,1.0,0.7155092968027683,5
0.9,infomap,1.0,0.0,1.0,0.7155092968027683,5
0.9,louvain,1.0,0.0,1.0,0.7155092968027683,5
0.9500000000000001,girvan_newmanc,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,greedy,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,infomap,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,louvain,1.0,0.0,1.0,0.7193470815267524,5
1.0,girvan_newmanc,1.0,0.0,1.0,0.7235076094839019,5
1.0,greedy,1.0,0.0,1.0,0.7235076094839019,5
1.0,infomap,1.0,0.0,1.0,0.7235076094839019,5
